MEAN_X,MEAN_Y,Plot
352808.423022222239524,1663185.777061111060902,"20"
352804.084044999792241,1663160.333534999983385,"21"
352798.219429411808960,1663134.687697058776394,"22"
352795.558330000087153,1663110.785506666405126,"23"
352864.339312727213837,1663463.650306364288554,"16"
352808.153150000085589,1663260.329228571616113,"17"
352809.779035714163911,1663235.606842857319862,"18"
352810.303978571493644,1663210.913264286005870,"19"
352775.016789583256468,1663251.477160417241976,"12"
352767.143104545539245,1663290.553531818091869,"13"
352842.083701904921327,1663421.507346666418016,"15"
352773.717714473721571,1663142.658790788846090,"8"
352780.066993518557865,1663170.296817592112347,"9"
352786.703789583232719,1663206.072956249816343,"10"
352784.485722222249024,1663226.971572222188115,"11"
352699.219707999960519,1663030.910106666851789,"4"
352717.202320634853095,1663071.333093651104718,"5"
352726.757045454578474,1663097.586298484588042,"6"
352760.458981538424268,1663125.405103076482192,"7"
352755.248060000129044,1663169.621539999498054,"0"
352642.546122857253067,1662939.699622857384384,"1"
352660.372324719093740,1662967.941352809080854,"2"
352685.261172727274243,1662997.272447727620602,"3"
352781.338733613607474,1663335.232890755170956,"141"
352799.834359999862500,1663380.647991429315880,"142"
352781.553560638218187,1663086.066465958254412,"24"
352776.136599999852479,1663112.311799999326468,"25"
